Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
1.09849,-1.02037,1.21113,1.26018,-1.02990,2.62274,2.66255,Good
-0.47988,-0.07920,-0.84355,3.04957,3.66384,-0.36570,-1.47354,Good
0.83310,0.44971,-1.63855,-0.63134,2.83091,-0.66886,1.04943,Good
-3.46416,1.35211,0.45803,0.89275,3.12982,-1.74467,-2.20461,Good
-4.67414,0.79705,-0.89721,-1.39398,0.49213,3.20171,-0.58629,Bad
-3.34149,-1.35556,1.43365,1.72236,0.11291,0.68879,1.61918,Bad
0.45531,-2.38290,-0.83743,-2.36618,-0.27646,0.85234,-0.03113,Good
-2.23619,-1.17456,1.48270,-0.27716,1.49760,1.07573,-0.93697,Good
-3.56790,1.04374,2.56340,0.43728,1.67852,-5.31384,2.07198,Good
-2.18893,2.13175,0.26084,3.88605,-3.19626,-3.56059,0.08951,Good
-1.56976,1.05986,1.51888,1.66610,3.06893,-1.48035,2.76946,Bad
-1.12906,-0.25784,-1.94224,-0.02093,-0.72414,2.66211,-0.11247,Bad
-0.39961,-3.19817,-1.25064,2.90928,-2.31404,-0.23111,-3.02939,Bad
0.61013,-3.46082,1.33676,0.38745,-0.13678,2.98865,-2.04477,Bad
2.35440,-2.66027,2.61542,-3.29121,4.60445,-1.24012,3.68958,Good
0.56285,-1.82799,-4.62224,-0.32574,2.57880,2.48154,1.15277,Bad
0.03941,-1.13743,0.47773,1.65648,-3.25623,-0.50358,0.52870,Bad
-2.15961,-1.29596,-1.73244,0.08072,-1.95961,2.72304,-1.47788,Bad
2.16059,-1.60813,-3.14954,1.35426,2.16931,0.56146,1.46604,Good
2.24978,1.30681,-3.36214,-3.29234,1.53637,2.32269,0.17170,Good
0.91337,0.23823,-0.86645,0.41108,0.77725,-0.69056,0.26908,Bad
-2.17807,0.71106,-2.72353,-0.79462,1.37163,2.66167,-1.43802,Bad
-2.16746,-1.72967,1.29234,2.34303,0.31325,-0.90759,-1.78745,Bad
1.90690,-0.28656,-0.64228,-0.90969,0.56727,0.44768,2.33128,Good
-2.45137,-2.46045,3.31056,1.10007,1.66726,-0.01058,-0.90836,Good
2.35505,-0.80501,-4.04687,-0.62127,2.72102,1.40361,-1.73512,Bad
1.41035,-6.23511,0.60668,2.78153,0.18842,-1.65557,1.78747,Good
1.75627,-2.07825,-1.34700,1.57071,0.20559,3.33230,-0.15988,Good
-0.49031,-2.69359,-2.26293,1.40822,0.89413,4.09705,-1.19298,Bad
1.88965,-1.23488,-2.00323,1.61822,0.36072,2.71221,0.12491,Good
0.52355,-0.78529,0.30718,-0.77388,1.22045,-1.32970,1.35549,Good
-1.44762,-0.40082,-2.01582,0.51915,0.92156,2.63835,-0.52903,Bad
1.28832,0.11832,-2.03989,1.25421,0.42178,0.27382,0.06435,Bad
0.51695,0.64378,-2.75288,1.26594,0.71429,1.04106,-2.96742,Good
-0.62954,-1.16111,-0.33010,0.93047,2.08749,0.36955,-4.56091,Good
-0.69171,-2.43134,-0.90966,2.42832,0.24208,2.31358,1.28594,Bad
-2.09043,-2.26132,3.82271,-0.51214,0.66060,0.66342,-1.71409,Good
0.09740,-2.09014,-5.01889,0.17340,1.52466,5.27845,-1.70040,Bad
1.37260,-0.81619,-1.13803,1.94896,-0.22223,-0.56192,1.65216,Good
-0.61811,-2.13170,-1.58003,-0.19532,3.62568,3.25931,-1.63364,Bad
1.80337,-0.97604,-1.54692,0.92631,3.13968,-0.68322,3.40146,Good
-0.20134,0.57913,-2.12604,3.12928,-4.40185,-0.55263,-2.24997,Good
-1.15932,0.72317,-0.04025,-0.74830,0.67796,1.25185,-2.14602,Good
-1.58138,-0.75950,0.13536,1.88182,1.99805,0.72936,0.28688,Good
-1.11143,-2.08475,2.51988,0.91800,1.37712,0.93721,-0.89419,Good
-1.92182,-3.48136,0.44148,1.77752,-0.28358,0.82292,-3.50449,Bad
-1.96733,0.77615,0.27144,0.69599,2.15787,-0.07003,-1.52126,Good
-1.57256,-0.00904,1.96944,1.88446,0.97766,-0.65525,2.12752,Bad
-0.42662,-1.43684,-0.66081,-0.56082,-1.87193,1.26926,-1.75134,Bad
-0.72518,-1.44713,1.84099,3.08618,2.22922,0.55509,3.04076,Good
1.30706,-2.35536,-1.47080,-1.04347,1.83590,0.11393,-0.05533,Good
0.13710,-3.03508,-0.44060,1.44498,-3.82420,0.85011,-1.61157,Bad
1.64600,-3.02752,0.25096,0.96590,-1.55391,2.08491,-0.47493,Bad
1.43891,-1.21906,-0.33751,-0.39480,-1.11712,3.08265,-1.74669,Good
-1.21307,-0.24908,-0.00248,2.50960,1.49853,0.75557,-0.36262,Good
1.05151,-4.31198,-1.39905,-2.79121,4.26875,0.50145,1.61099,Good
-2.03089,-1.64249,-0.55716,0.48127,1.19892,-0.08399,5.38120,Bad
-1.71220,-2.52966,-2.06691,0.44336,3.54651,1.02173,5.17017,Bad
0.10498,-1.60094,-0.78706,2.34569,2.32331,0.53031,1.78969,Bad
-1.05173,-3.06791,-2.90486,-0.62235,3.70509,3.24198,0.63943,Bad
-1.44749,-1.13698,-0.83680,1.93246,-1.51210,0.80187,2.66910,Bad
-3.01013,1.54827,-0.56829,0.20925,2.31704,-1.24223,-2.72746,Good
-0.59199,-2.61865,-1.07348,1.11468,-2.53637,1.75476,-1.66064,Bad
-3.83587,-0.83880,1.41286,2.25127,-0.34372,0.94656,1.66132,Bad
-0.77640,-0.11680,-1.81309,1.24155,-0.57793,1.32588,0.22402,Bad
-3.20290,-0.84983,-1.10621,0.47382,-0.02344,2.35629,-1.59075,Bad
0.69563,-1.66906,-1.44213,2.18904,-2.76706,0.76405,-0.12164,Bad
0.08971,-2.24999,-2.67362,2.76221,0.03597,-0.90360,-1.45613,Good
-2.22911,-1.09726,3.58992,0.14022,1.56312,-0.16192,-1.33515,Good
-2.24548,-0.04770,0.25070,0.77161,2.24300,-0.68759,3.37886,Bad
-3.71553,0.00264,1.68365,0.09404,3.19244,-1.01380,4.43609,Bad
-2.45461,-0.38647,-1.07348,0.91405,1.92540,2.43800,0.33891,Bad
-1.16285,-1.41695,0.44011,2.65394,-0.09568,-0.95044,3.14587,Bad
-3.42366,-1.83501,0.79490,-0.55766,4.60623,0.17758,3.76601,Bad
1.74387,1.63273,-1.27930,2.75880,-2.42021,-0.21493,2.06412,Good
-2.26753,-0.99561,2.25468,-0.62075,-0.77281,1.33625,-0.32055,Good
4.42078,-2.54767,-1.75629,0.90181,-0.41284,1.98717,1.61353,Good
0.13246,-3.03788,-2.46454,1.61923,0.30012,2.11055,-3.40812,Bad
1.48229,-0.10716,-0.74669,-0.56177,2.99668,-0.90748,2.28840,Good
0.01972,-0.59123,-1.73924,0.00121,0.69505,-0.01845,1.30726,Bad
0.26384,-2.89627,-0.15761,-0.18462,-2.84890,0.40466,-3.04217,Bad
-0.82099,0.93444,-1.33615,2.18383,0.63251,1.42093,2.43475,Good
0.03105,0.56308,0.38078,1.30872,0.31711,0.43555,-2.33633,Good
1.09631,-2.51144,-3.21721,1.95691,-1.50235,2.89281,-0.94601,Bad
-2.50461,-3.10825,-1.13862,1.00218,-2.20621,1.81162,-3.69278,Bad
1.25949,-0.55790,-2.57877,-0.48897,2.58122,-0.23261,0.48947,Bad
-1.08171,-0.12845,0.09291,2.23528,-0.55094,0.30027,0.63882,Bad
-1.11742,-1.37933,-1.27443,0.48414,1.47888,1.37251,1.72139,Bad
-3.57002,-1.55767,0.39789,0.28722,4.26496,1.04641,4.21396,Bad
1.34856,-2.62931,0.68881,4.57968,3.79394,0.17861,-0.41450,Good
-1.52895,-2.20577,2.31555,1.34557,3.64453,-0.29746,-2.38693,Good
1.46031,1.89224,-1.42119,-0.42142,0.51412,0.23157,3.38752,Good
0.37526,-1.44587,-1.18105,2.60146,2.82729,1.73276,1.60009,Good
1.18755,-3.48874,-0.02498,1.05635,2.16724,-1.40785,1.19113,Good
-2.46290,-0.56298,-2.12861,2.10510,-3.97010,0.64283,-0.26895,Bad
0.19212,1.36309,-0.10483,-1.51194,-0.65962,2.73716,-0.18772,Good
-3.80769,0.21819,1.47691,-0.01566,3.14111,0.21635,3.13373,Bad
-1.68696,-2.20478,0.52107,0.70061,-1.90030,0.54147,-2.17968,Bad
-3.91849,-0.28952,2.67807,-1.29840,0.76676,0.36012,-2.20602,Good
1.94987,-0.78061,-3.13447,0.11595,0.41851,-1.72995,1.37814,Bad
-1.87573,-1.10457,0.10693,2.80836,-2.19868,1.81963,0.09981,Bad
0.47115,-1.87918,-3.94511,0.45782,1.82704,2.92651,0.15174,Bad
0.00834,-0.25831,-0.58902,2.21656,2.34741,-0.43973,-4.79764,Good
-3.02382,-0.84765,-3.92648,0.63064,-3.39271,4.04227,-0.76086,Bad
3.25691,0.97614,-0.40334,6.29787,-4.28328,-5.86460,3.49926,Bad
0.60096,-1.30468,0.78534,1.77136,1.12384,1.41379,2.34786,Good
1.36093,-0.96969,-2.87448,0.90506,-0.13191,0.13591,1.61209,Bad
-1.33802,-0.41403,-1.03899,2.19399,0.33924,2.05529,-0.24002,Bad
-0.34862,1.83615,-0.19122,3.54938,-0.85015,-3.65189,1.65662,Bad
-0.91587,-2.11753,-0.72232,2.03850,-1.55071,2.45531,-2.05873,Bad
0.64840,-0.59796,-0.34855,1.20565,0.68587,2.03225,-2.21295,Good
2.21435,-0.02933,-1.64331,3.37537,-0.31093,-0.73333,1.01030,Good
-2.16581,-2.17645,2.30017,-0.55149,-0.90273,2.76264,-2.03118,Good
0.89274,-2.57026,0.68640,2.20201,-0.33259,-1.84103,1.40297,Good
-2.62890,-2.05118,-1.24276,0.02832,-0.47431,1.34006,2.25824,Bad
-0.12575,0.02464,0.00326,1.45697,-0.17890,2.08377,-0.13176,Good
-0.78498,-2.56469,-2.83616,1.62918,-0.84600,5.54814,-2.17899,Bad
0.26823,-1.15715,2.57197,-0.32958,-1.24208,2.22625,3.04163,Good
-3.00549,-0.48732,2.24018,-0.95281,1.93010,-0.25265,-2.33715,Bad
1.68388,-2.24219,2.24606,1.35622,-1.25223,-1.72052,-0.96100,Bad
-1.08028,1.24466,1.21507,-0.81225,-0.06231,-0.27708,-1.97700,Good
-3.07508,-1.51650,-1.66861,0.17191,1.10358,3.37823,-0.00159,Bad
0.44337,-2.63792,0.31925,2.62246,2.55120,1.18844,-1.01324,Good
2.18124,-2.28090,0.47170,2.99273,-0.99119,2.61776,2.56080,Good
-1.61841,-2.89623,3.29958,1.41192,1.35981,0.90035,0.15798,Good
-2.55552,-0.51709,-0.93177,-1.08354,0.63836,3.29907,-1.13688,Bad
-2.45622,-1.30067,1.90372,-0.32915,0.64068,0.32507,-2.56830,Good
-4.96851,-0.81431,-0.48164,1.81428,1.34789,3.77285,1.95171,Bad
-0.30707,-1.55070,-4.76535,-1.64889,4.75376,2.60304,2.59769,Bad
-1.62360,1.66715,-1.00461,-0.17380,-2.27691,0.91423,2.05664,Bad
-2.74330,-1.21404,-1.98925,-0.65030,-0.49518,3.84917,-1.86583,Bad
-2.65336,-1.61630,2.62595,0.19555,2.42362,-0.19498,-3.94078,Good
-2.68493,-1.37455,1.01425,-0.08382,1.66164,2.81412,-0.76500,Bad
-0.43301,-1.47376,1.06234,0.98894,0.21954,2.11838,0.92471,Good
2.92443,-0.92825,-4.66314,-0.54800,2.73019,1.89816,-0.23726,Good
-1.71144,0.62078,-0.73359,-0.35142,-1.09521,1.75416,0.85977,Bad
-2.13310,-0.73969,-0.74879,0.47469,1.77186,1.25716,0.26029,Bad
-2.93762,-0.70779,1.11177,0.69730,0.99153,0.38850,0.84892,Bad
1.30099,-1.28559,0.44345,1.21646,0.41115,-3.54854,4.16975,Bad
-0.81584,-0.30161,-0.00150,-0.38430,-1.08200,2.34449,-0.49398,Good
-1.67418,0.39648,1.07588,1.09284,1.38409,-0.19956,-0.40441,Bad
-1.77697,-1.87703,-0.69802,-0.24648,2.47594,0.08188,5.01131,Bad
-3.97694,-1.87677,-0.10371,1.48225,-0.41641,1.76528,2.71898,Bad
-1.19355,-1.48455,-1.68280,-0.25583,1.88830,1.36956,1.64020,Bad
-4.38986,0.18558,2.32750,0.94938,2.20785,0.28800,3.76163,Bad
1.10365,-3.01614,2.01913,1.74641,2.76166,-3.30201,2.87456,Good
-2.84087,0.35860,-3.13045,-0.18486,-0.04763,4.05742,-0.15713,Bad
0.23741,-0.74363,1.89278,1.36601,1.26545,1.02398,1.09501,Good
0.09932,-2.01829,-1.59264,2.01577,-1.48208,0.86335,-1.71094,Bad
-4.32795,-0.87068,-0.25484,0.35747,3.32760,2.48368,1.79599,Bad
4.49097,-0.32948,-1.27403,3.15929,4.45074,-2.13557,0.26890,Good
0.94495,-3.32149,2.96792,0.07820,-0.96546,2.64844,-0.50276,Good
-0.96139,-1.26052,-3.24689,-0.75480,-0.24377,4.24257,-2.15335,Bad
-0.66382,-0.80146,0.02458,3.52623,1.78174,1.01006,0.93891,Good
-0.06236,-1.32464,-1.78242,-0.34628,-0.93775,0.86385,-2.83524,Bad
2.35000,-3.96824,-1.10190,-2.52426,1.59618,1.78630,2.14184,Good
-0.59214,-0.06231,-0.52306,2.13744,3.07580,-0.34728,-3.04568,Good
-1.12376,-1.66263,3.38816,2.15128,1.79955,-1.99514,-1.48435,Bad
2.61191,-0.92206,-2.19690,3.53321,-0.92128,-0.01543,1.61789,Good
-0.45884,-0.93662,-0.80276,1.55955,0.16767,1.91712,-0.34889,Good
1.56667,0.86856,-0.04427,-0.71664,1.76854,-0.87278,2.68472,Good
0.09897,-1.53406,-0.40388,3.18380,0.13801,-2.54419,0.28021,Good
-0.27107,-2.51585,2.34292,0.69997,0.35672,1.94189,-1.65299,Good
0.30572,-0.48160,-0.11476,2.18198,3.87957,-3.67556,1.76245,Good
1.75965,1.68775,-1.54410,-1.89445,-0.80863,1.41624,0.83800,Good
0.54662,-0.90034,-1.01942,2.54886,0.56977,-1.56412,1.91366,Good
-0.51116,-1.64756,2.07018,-3.12734,3.44714,-2.43572,1.18245,Good
0.62484,-0.78683,0.90773,-0.35026,0.65357,-1.48045,2.56937,Good
-2.00214,-2.62582,-0.90880,-1.78018,1.19705,3.67859,-4.43433,Bad
0.58521,-1.48040,-1.53043,1.59253,0.22129,-0.04663,1.50889,Bad
-1.05288,-3.29099,-4.05630,-0.70908,-3.59839,2.09593,-6.46099,Bad
-1.78415,-1.10158,0.70359,4.19064,2.96054,0.01437,1.13433,Good
-1.24430,0.24802,-0.23056,1.66768,-2.81832,-1.96534,-0.24525,Bad
-1.28628,1.10542,-3.15693,1.97386,0.22301,1.44271,0.81429,Bad
-2.61993,-2.22221,3.21016,3.19823,4.00514,-0.86989,-0.63016,Good
-0.04921,0.00622,-0.56433,1.53907,2.35155,-2.51134,1.41309,Good
1.29830,-0.33327,-1.85306,-0.05540,3.74834,-1.12686,-0.48626,Bad
-1.50484,-0.60985,-1.53515,1.82192,-1.00664,2.05272,0.53069,Bad
-4.98847,-0.19070,3.45144,-0.75969,1.72614,-0.08591,-1.85469,Good
-2.34334,-0.61878,-0.45425,1.19764,1.10202,2.85379,0.67550,Bad
0.12412,-1.24831,-0.76391,1.88579,-1.16048,0.64547,-0.25187,Bad
3.06249,-0.16891,-1.45813,3.22803,-1.22168,-1.76662,1.12321,Bad
-0.90339,-0.00648,-1.85798,1.90567,-1.32363,-0.23756,-0.63523,Bad
-2.27931,-2.12729,-1.05673,1.48795,1.48048,2.65368,2.66213,Bad
-2.21737,-1.66791,3.01012,1.28328,1.42127,-2.21429,3.75830,Bad
-0.02649,-0.79918,-3.37200,3.22329,-1.31933,0.30100,-0.81637,Bad
-4.57262,0.10053,1.58403,-0.55269,-0.67737,1.37915,0.14247,Bad
-2.75716,0.78150,3.33026,0.23181,3.29324,-4.66124,7.40474,Bad
2.50937,-3.11360,-2.80000,2.15258,-1.28959,1.09155,-1.02211,Good
0.55052,-0.25567,-0.56982,-0.50299,-1.60519,2.96392,0.12833,Good
-1.51344,5.14900,-0.39205,3.67806,-1.58220,-3.87115,0.91808,Good
0.11381,-1.50747,-2.05159,0.42306,1.31481,1.93501,-1.09833,Bad
-2.03878,-1.09725,0.53312,2.48340,2.83230,0.33369,-0.43080,Good
-4.40188,-1.88084,-0.18553,-1.15577,1.51741,2.43594,-4.66350,Bad
5.18962,-0.38035,0.67404,2.71190,4.22695,-2.08801,3.67750,Good
0.09678,-0.61904,1.37266,-1.55175,-1.48809,1.91323,-2.73068,Good
-3.13692,0.20391,2.31298,4.40078,-4.78638,1.18121,-1.44519,Bad
-0.84555,1.63692,-1.39746,0.20748,-2.82607,-0.21023,0.19602,Good
1.21534,0.45408,-0.91071,2.83916,-1.28671,-1.30209,0.34024,Good
-4.44180,-1.30817,-0.64485,1.03075,0.74374,3.01215,-1.55264,Bad
-2.43814,3.60329,-3.99427,-0.39910,0.81079,0.81320,-1.67431,Good
-1.61607,-0.19620,-2.14554,0.02424,1.76786,-1.73878,-0.98510,Good
-1.22040,0.72775,0.50021,0.94104,1.72032,-1.42265,0.86629,Bad
1.86451,0.56585,-1.23982,-0.46061,-3.68407,3.53143,-0.07976,Good
-2.74518,-1.10499,1.26367,0.99208,0.32728,-0.58133,3.15271,Bad
3.14483,-0.61846,-1.88886,-2.31844,1.98841,2.17124,3.44184,Good
-0.88811,0.01971,-1.14775,0.06286,0.48584,1.33219,-0.53119,Bad
0.17779,-1.12986,-0.27424,3.29136,-3.40360,-1.13617,0.69982,Bad
0.77834,0.75007,-2.10650,0.25045,1.19405,-0.29713,1.33801,Bad
-1.66013,-0.92647,-0.12413,1.83162,0.25786,0.61993,2.54120,Bad
0.39150,-2.23193,-4.27295,-0.25295,1.47274,2.70087,0.23600,Bad
-1.55247,-1.35363,0.29842,-0.16836,0.83321,3.27951,-0.15317,Bad
0.47046,0.28685,1.31703,4.68073,-3.13704,-4.61962,2.19315,Bad
0.41051,-1.07364,0.21730,1.09501,-1.44618,2.21687,0.72706,Good
-1.02942,-0.31537,1.82445,1.23213,0.21507,-2.69392,2.09973,Bad
-3.17926,-0.88467,0.77579,-0.11000,3.81563,0.42135,2.15791,Bad
-0.28411,-1.75492,1.17445,2.28945,1.28825,1.15311,0.39887,Good
2.48438,-1.38918,-1.43749,1.10087,-1.44400,0.93835,1.49017,Good
2.68386,-4.70092,1.40042,1.34697,-1.30408,4.61142,0.69220,Good
-6.12967,4.73823,0.25348,-1.39323,1.96485,-3.41088,-5.01526,Good
-2.59262,-0.26475,0.60096,-0.35274,2.68377,-0.69822,2.47674,Bad
-2.26361,2.12684,-1.56302,-1.67506,0.02507,1.92711,0.76430,Bad
-0.56075,-0.15707,-1.69514,0.45426,1.54203,0.35170,1.82218,Bad
1.40760,-1.27404,-3.74020,0.63789,1.14841,1.56149,-0.06004,Bad
-0.44309,-2.35205,-1.47948,1.06603,-0.93935,1.61996,-2.42008,Bad
-5.17383,-0.83257,3.81408,-1.13765,1.29722,-0.63469,-1.39485,Good
3.66110,-2.30911,-2.73442,3.63504,0.37611,3.82718,0.02617,Good
0.62437,-3.76294,-1.62994,1.23880,-0.40124,0.12912,0.38330,Good
-0.44154,-2.20732,-2.66863,0.77862,0.18952,3.35459,0.40955,Bad
-5.49985,-1.75076,-0.64052,0.40701,-1.60688,1.97473,-3.07734,Bad
-4.25210,-1.35236,1.09213,1.57133,-2.32276,2.43355,-0.04650,Bad
-1.96410,-1.40230,3.56210,0.39138,-0.84402,1.85576,3.55164,Good
0.48945,0.37793,-2.88415,0.50974,-0.16708,2.29517,0.42739,Bad
-3.21987,0.37519,1.64995,1.48211,1.04628,-2.20167,4.04330,Bad
-0.88614,-1.12587,-0.29121,2.59602,1.27957,1.26176,0.32841,Good
-1.30518,-1.10709,2.47014,2.11896,1.76289,-0.02230,0.80790,Good
-2.62517,-0.57203,1.60990,0.99526,0.31802,-1.18469,2.20142,Bad
0.49703,-4.50101,-0.72072,3.17712,2.53615,-2.03210,3.35016,Good
0.59123,-0.00195,1.19556,1.80464,-0.30961,-0.34414,2.28009,Bad
-1.41565,-0.94850,-0.63834,1.53714,1.63188,0.14354,3.25633,Bad
-3.85383,-1.86823,1.41524,1.59127,-0.06219,2.39022,1.79836,Bad
1.13755,-0.31270,-1.40332,0.53170,-0.58418,-2.71162,2.72006,Bad
-3.00002,-0.47421,1.69025,1.53479,1.61553,-0.55377,0.05177,Good
-2.69058,-1.31431,0.67625,-0.04139,-0.07487,1.53025,-1.81845,Good
0.66037,0.65865,-0.97491,2.12439,0.56297,-1.73590,1.33344,Good
0.96960,-3.87365,1.37010,2.43508,0.35565,3.21724,2.43431,Good
2.66815,-3.91603,-0.07491,-0.71256,1.17775,0.09392,-0.32838,Good
-3.27357,-1.25434,2.68255,1.22256,1.14152,-0.72892,4.47212,Bad
-1.77224,0.44693,-1.53381,2.00301,3.60365,-0.45217,-3.64647,Good
-2.25444,-0.18127,-0.37498,-0.64110,3.26885,-1.13736,3.73976,Bad
-2.66349,-2.79174,-1.96816,0.22064,1.70602,3.88901,2.72028,Bad
1.63580,-0.23438,-2.30423,1.61040,-1.09721,-0.19312,-0.17224,Bad
-0.37604,-1.44283,-0.87077,1.29660,-0.21357,0.98984,-1.42881,Bad
1.64892,1.89223,1.23609,0.76609,3.40239,-2.48663,6.00885,Good
-2.99452,-0.24073,1.27384,-0.14386,2.20735,0.18157,-1.07245,Good
-4.83261,-2.36107,4.95082,-1.83889,1.05891,0.20257,-2.17134,Good
-1.62810,1.29694,-0.10777,0.86994,3.01910,0.45630,0.59490,Bad
-2.10659,1.01784,2.23647,2.27223,-1.37383,-2.23172,1.31386,Bad
3.09634,-3.11185,-4.33757,2.32521,2.25837,1.14229,0.01336,Good
-0.42537,1.23885,-1.33519,1.94014,1.96648,0.10498,-1.92267,Good
-4.24444,0.59938,4.46981,1.92080,-1.35080,-3.69063,4.28867,Bad
-1.93824,-2.48836,-0.85981,0.81229,-2.25389,1.48043,-2.95755,Bad
-2.22878,-1.03419,0.92188,-0.16110,2.69418,-0.80358,2.31658,Bad
-0.68668,-3.02088,-0.39913,2.90240,2.59457,-3.42291,0.46833,Good
-0.07153,-0.29866,-2.20054,1.68379,-1.50610,0.15593,-0.77983,Bad
2.64612,-0.44997,-4.57395,-0.04524,3.84904,1.13932,-0.48835,Bad
-3.28580,1.18425,-2.01593,0.57063,2.05660,3.35963,0.93108,Bad
4.52477,-0.52420,-3.87015,3.05619,0.05829,1.01269,-1.23195,Good
-0.21385,-2.51576,2.83924,2.74110,1.00138,1.32527,2.91447,Good
-1.39269,1.31907,0.62362,3.57094,-1.58946,0.20275,-0.49165,Bad
3.98496,-1.63419,-1.98925,0.34819,1.88665,1.28518,2.76716,Good
3.03890,-2.66584,-1.49083,2.80674,3.20018,-1.19429,1.68651,Good
1.39273,-1.56312,-5.02972,-0.14982,-0.17140,2.74582,-0.55168,Bad
-0.82855,-1.25326,1.29446,0.62183,1.47200,0.87748,-1.12985,Good
